County,Total_Pop,Hispanic of Any Race,Non-Hispanic of Any Race,White Single Race,Black Single Race,American Indian/Alaskan Native Single Race,Asian Single Race
Alamance,176353,25032,151321,126076,39357,2661,3596
Alexander,36512,2001,34511,32986,2146,222,445
Alleghany,11185,1125,10060,10598,232,81,89
Anson,22202,1161,21041,10598,10557,221,360
Ashe,27110,1534,25576,26153,286,159,141
Avery,17571,935,16636,16321,751,129,130
Beaufort,44272,3765,40507,32087,10533,515,274
Bertie,17240,453,16787,6253,10409,154,139
Bladen,29446,2533,26913,17909,9732,1007,151
Brunswick,153064,8071,144993,133195,14164,1298,1271
Buncombe,273589,20391,253198,244458,16656,1516,4129
Burke,87881,6176,81705,75495,5732,874,3356
Cabarrus,235797,28077,207720,160778,51453,1741,15241
Caldwell,80492,5258,75234,73131,4363,554,697
Camden,11088,477,10611,9311,1124,63,204
Carteret,69380,3236,66144,62742,3632,481,806
Caswell,22614,1185,21429,14657,7112,214,169
Catawba,163462,17728,145734,135812,14642,1059,8051
Chatham,79864,9674,70190,65706,9327,995,2077
Cherokee,29512,1173,28339,27456,547,514,207
Chowan,13940,546,13394,8955,4513,79,104
Clay,11614,481,11133,11054,181,70,57
Cleveland,100670,4683,95987,75864,20898,490,1212
Columbus,49885,3138,46747,31612,14884,1899,305
Craven,100874,8100,92774,72500,20982,719,3139
Cumberland,336699,43804,292895,167318,134373,6585,9277
Currituck,31015,1640,29375,27731,1794,245,384
Dare,37956,2912,35044,35496,1070,257,383
Davidson,172586,14486,158100,145488,18550,1461,3343
Davie,44090,3377,40713,39434,2911,323,409
Duplin,48990,11705,37285,34204,12377,780,431
Durham,332680,46350,286330,181841,117597,3259,20005
Edgecombe,48301,2847,45454,19114,27693,412,225
Forsyth,389157,55503,333654,255807,107890,3869,10803
Franklin,74539,7697,66842,52005,19275,794,641
Gaston,234215,20909,213306,176692,45760,1540,4262
Gates,10383,272,10111,6846,3097,83,55
Graham,7980,332,7648,6993,62,649,54
Granville,61903,6370,55533,39644,19361,640,561
Greene,20211,3369,16842,11695,7486,504,133
Guilford,546101,49230,496871,296925,198340,4246,30868
Halifax,47848,1668,46180,19114,25516,1914,436
Harnett,138832,20165,118667,98186,30837,2375,1902
Haywood,62609,3066,59543,59515,925,527,473
Henderson,118106,12872,105234,108858,4017,865,1606
Hertford,20875,1025,19850,7301,12464,313,231
Hoke,53787,8273,45514,25814,19553,4570,939
Hyde,4576,468,4108,3130,1267,60,39
Iredell,195897,17255,178642,159864,24666,1150,5455
Jackson,42955,2937,40018,36535,1032,3770,526
Johnston,234778,35735,199043,179124,44463,2346,2687
Jones,9233,569,8664,6210,2621,95,65
Lee,65476,13434,52042,48794,12729,901,1063
Lenoir,54633,4831,49802,29952,22552,405,420
Lincoln,93095,7534,85561,84160,5730,501,1009
McDowell,44753,3021,41732,41080,1927,396,533
Macon,38065,3206,34859,35997,634,330,405
Madison,21768,641,21127,20824,324,136,124
Martin,21508,960,20548,11879,8972,148,149
Mecklenburg,1145392,165220,980172,646157,380270,10147,76753
Mitchell,15094,947,14147,14381,159,162,106
Montgomery,25894,4175,21719,19915,4611,349,460
Moore,105531,8126,97405,87904,11710,1314,1878
Nash,95789,7603,88186,51384,40234,1093,1155
New Hanover,234921,15088,219833,194011,29950,1455,3670
Northampton,16779,480,16299,6947,9328,127,64
Onslow,207298,28270,179028,158218,31691,2181,4610
Orange,150477,13253,137224,114769,18091,953,12287
Pamlico,12381,615,11766,9669,2220,101,87
Pasquotank,40938,2613,38325,24013,14591,281,610
Pender,65737,5448,60289,54285,8523,678,552
Perquimans,13210,475,12735,9905,2841,71,85
Person,39386,2140,37246,27454,10454,386,174
Pitt,173542,12256,161286,100935,63418,1009,3686
Polk,19986,1196,18790,18402,800,149,235
Randolph,146043,19055,126988,128171,10416,1776,2444
Richmond,42778,3289,39489,25842,13796,1412,475
Robeson,116663,11489,105174,35107,27781,48913,818
Rockingham,91957,6292,85665,70703,17599,596,664
Rowan,149645,15856,133789,117753,25710,1013,1796
Rutherford,64963,3564,61399,56414,6334,263,436
Sampson,59120,12937,46183,39506,15228,2312,416
Scotland,34162,1354,32808,14753,13507,4517,343
Stanly,64153,3385,60768,53720,7535,349,1294
Stokes,45175,1846,43329,42017,2015,216,195
Surry,71403,8603,62800,66075,3077,520,574
Swain,13967,1018,12949,8570,208,4276,107
Transylvania,33355,1176,32179,31111,1065,165,231
Tyrrell,3365,425,2940,2129,1036,44,67
Union,249070,30880,218190,198105,31571,1728,11681
Vance,42138,3783,38355,18744,21764,409,405
Wake,1175021,124402,1050619,783098,244109,9222,104508
Warren,18713,860,17853,7804,9303,1073,91
Washington,10828,717,10111,5169,5212,130,48
Watauga,55089,2240,52849,51972,1157,241,735
Wayne,117286,15766,101520,72818,38088,1026,1605
Wilkes,65784,4869,60915,60702,3110,316,409
Wilson,78449,9348,69101,43400,31684,637,983
Yadkin,37463,4501,32962,34880,1388,309,215
Yancey,18811,1053,17758,18104,214,143,73
