County,Total_Pop,Avg_Weekly_Wage_Normalized
alamance,176353,0.2547864507
alexander,36512,0.175257732
alleghany,11185,0.1347569956
anson,22202,0.2253313697
ashe,27110,0.2761413844
avery,17571,0.1980854197
beaufort,44272,0.2628865979
bertie,17240,0.1649484536
bladen,29446,0.2128129602
brunswick,153064,0.2820324006
buncombe,273589,0.4005891016
burke,87881,0.2407952872
cabarrus,235797,0.3188512518
caldwell,80492,0.2474226804
camden,11088,0.2621502209
carteret,69380,0.1921944035
caswell,22614,0.2164948454
catawba,163462,0.3210603829
chatham,79864,0.2923416789
cherokee,29512,0.2113402062
chowan,13940,0.3063328424
clay,11614,0.1892488954
cleveland,100670,0.2739322533
columbus,49885,0.2002945508
craven,100874,0.3262150221
cumberland,336699,0.3136966127
currituck,31015,0.1730486009
dare,37956,0.2231222386
davidson,172586,0.2989690722
davie,44090,0.2628865979
duplin,48990,0.1597938144
durham,332680,0.9477172312
edgecombe,48301,0.2430044183
forsyth,389157,0.4491899853
franklin,74539,0.353460972
gaston,234215,0.2997054492
gates,10383,0.1826215022
graham,7980,0.2592047128
granville,61903,0.3652430044
greene,20211,0.2187039764
guilford,546101,0.3976435935
halifax,47848,0.2128129602
harnett,138832,0.2039764359
haywood,62609,0.2025036819
henderson,118106,0.3262150221
hertford,20875,0.2209131075
hoke,53787,0.1885125184
hyde,4576,0.1222385862
iredell,195897,0.4315169367
jackson,42955,0.2120765832
johnston,234778,0.3033873343
jones,9233,0.1980854197
lee,65476,0.3350515464
lenoir,54633,0.2533136966
lincoln,93095,0.3159057437
macon,44753,0.1855670103
madison,38065,0.2231222386
martin,21768,0.08026509573
mcdowell,21508,0.2076583211
mecklenburg,1145392,0.7223858616
mitchell,15094,0.2393225331
montgomery,25894,0.2371134021
moore,105531,0.3379970545
nash,95789,0.2908689249
new hanover,234921,0.4050073638
northampton,16779,0.2547864507
onslow,207298,0.1811487482
orange,150477,0.6789396171
pamlico,12381,0.05743740795
pasquotank,40938,0.2275405007
pender,65737,0.2231222386
perquimans,13210,0.1553755523
person,39386,0.2326951399
pitt,173542,0.4042709867
polk,19986,0.2120765832
randolph,146043,0.2739322533
richmond,42778,0.2179675994
robeson,116663,0.1885125184
rockingham,91957,0.1730486009
rowan,149645,0.351988218
rutherford,64963,0.2179675994
sampson,59120,0.3107511046
scotland,34162,0.2312223859
stanly,64153,0.1340206186
stokes,45175,0.1281296024
surry,71403,0.2282768778
swain,13967,0.2253313697
transylvania,33355,0.2577319588
tyrrell,3365,0.1502209131
union,249070,0.4175257732
vance,42138,0.2319587629
wake,1175021,0.6443298969
warren,18713,0.1266568483
washington,10828,0.2253313697
watauga,55089,0.2268041237
wayne,117286,0.2326951399
wilkes,65784,0.2032400589
wilson,78449,0.3070692194
yadkin,37463,0.1848306333
yancey,18811,0.2437407953
stdev,,0.126370689
